이름,회사명,직무/포지션,작성일,지원 마감일,상태
ㅊㅗ안,,,2025년 10월 13일,,작성중
자소서,CNS,1지망LG CNS / DX Engineer(Front-end Engineer/Back-end Engineer) / 서울/경기2지망LG CNS / Smart Factory / 서울/전국,2025년 10월 13일,,작성중
