이름,상태,작성일,지원 마감일,직무/포지션,회사명
자소서,작성중,2025년 10월 13일,,1지망LG CNS / DX Engineer(Front-end Engineer/Back-end Engineer) / 서울/경기2지망LG CNS / Smart Factory / 서울/전국,CNS
ㅊㅗ안,작성중,2025년 10월 13일,,,
